source,domain,articles,median_chars,mean_score,share_pct
Guardian Sitemap,www.theguardian.com,27,4902.0,10.814814814814815,21.951219512195124
UN News,news.un.org,22,3564.5,13.954545454545455,17.88617886178862
Guardian World,www.theguardian.com,21,5015.0,16.285714285714285,17.073170731707318
Guardian Middle East,www.theguardian.com,15,5474.0,19.2,12.195121951219512
中国新闻网 国际,www.chinanews.com.cn,9,613.0,11.666666666666666,7.317073170731707
AP Middle East,apnews.com,8,5969.0,19.625,6.504065040650407
Al Jazeera,www.aljazeera.com,7,2942.0,13.285714285714286,5.691056910569105
BBC World,www.bbc.com,5,3991.0,14.8,4.0650406504065035
China News World,www.chinanews.com.cn,4,692.5,9.25,3.2520325203252036
DW World,www.dw.com,3,6347.0,15.666666666666666,2.4390243902439024
AP Iran,apnews.com,2,5152.0,20.0,1.6260162601626018
